Number,deleted,Level3Code,Name,deleteddate
PRE111,1,0,Not Specified,00:00.0
PRE113,1,0,Not Specified,00:00.0
PRE16,1,0,Not Specified,00:00.0
PRE19,1,0,Not Specified,00:00.0
PRE21,1,0,Not Specified,00:00.0
PRE22,1,0,Not Specified,00:00.0
PRE24,1,0,Not Specified,00:00.0
PRE25,1,0,Not Specified,00:00.0
PRE44,0,2,Human Resources,00:00.0
PRE45,0,2,Human Resources,00:00.0
PRE46,1,0,Not Specified,00:00.0
PRE56,1,0,Not Specified,00:00.0
PRE63,1,0,Not Specified,00:00.0
PRE64,1,0,Not Specified,00:00.0
PRE69,1,0,Not Specified,00:00.0
PRE71,1,3,MIHCM Lite,00:00.0
PRE76,1,3,MIHCM Lite,00:00.0
PRE78,1,0,Not Specified,00:00.0
PRE79,1,0,Not Specified,00:00.0
PRE80,0,2,Human Resources,00:00.0
PRE81,1,0,Not Specified,00:00.0
PRE82,1,0,Not Specified,00:00.0
PRE92,1,2,Human Resources,00:00.0
PRE96,1,0,Not Specified,00:00.0
PRE98,0,2,Human Resources,00:00.0
PRE99,0,2,Human Resources,00:00.0
prt456,1,0,Not Specified,00:00.0
s,0,2,Human Resources,00:00.0
Self1234,1,0,Not Specified,00:00.0
SELF34,1,0,Not Specified,00:00.0
SH678,1,0,Not Specified,00:00.0
TEmp0004,1,0,Not Specified,00:00.0
Temp0051,1,7,data analys,00:00.0
TEMP0101,1,0,Not Specified,00:00.0
TEMP025,1,0,Not Specified,00:00.0
TEMP026,1,0,Not Specified,00:00.0
TEMP028,1,0,Not Specified,00:00.0
TEMP048,1,0,Not Specified,00:00.0
Temp12,1,0,Not Specified,00:00.0
TEMP4562,0,2,Human Resources,00:00.0
Temp600,1,0,Not Specified,00:00.0
Temp601,1,0,Not Specified,00:00.0
Temp602,1,0,Not Specified,00:00.0
Temp604,1,0,Not Specified,00:00.0
Temp605,1,0,Not Specified,00:00.0
Temp608,1,0,Not Specified,00:00.0
Temp612,1,0,Not Specified,00:00.0
Temp613,1,0,Not Specified,00:00.0
Temp615,1,0,Not Specified,00:00.0
Temp616,1,0,Not Specified,00:00.0
Temp617,1,0,Not Specified,00:00.0
Temp618,1,0,Not Specified,00:00.0
Temp623,1,0,Not Specified,00:00.0
tempEmpLk017,1,0,Not Specified,00:00.0
tempEmpLk027,1,9,Systems Engineering,00:00.0
tempEmpLk034,1,12,Industrial Engineering,00:00.0
test0110,1,0,Not Specified,00:00.0
Test123,1,0,Not Specified,00:00.0
Y052,1,0,Not Specified,00:00.0
Y054,1,0,Not Specified,00:00.0
YI4576,1,0,Not Specified,00:00.0
